Date,Open,High,Low,Close,Adj Close,Volume
2022-11-09,284.000000,298.000000,280.000000,292.000000,292.000000,649150300
2022-11-10,292.000000,292.000000,280.000000,284.000000,284.000000,240744700
2022-11-11,300.000000,318.000000,298.000000,312.000000,312.000000,1376957600
2022-11-14,314.000000,316.000000,306.000000,308.000000,308.000000,248976900
2022-11-15,308.000000,312.000000,302.000000,310.000000,310.000000,319814000
2022-11-16,310.000000,316.000000,304.000000,312.000000,312.000000,609328300
2022-11-17,314.000000,314.000000,306.000000,310.000000,310.000000,234444800
2022-11-18,310.000000,320.000000,310.000000,312.000000,312.000000,248683000
2022-11-21,314.000000,314.000000,296.000000,300.000000,300.000000,340720100
2022-11-22,300.000000,306.000000,292.000000,304.000000,304.000000,302999700
2022-11-23,306.000000,306.000000,300.000000,302.000000,302.000000,208138000
2022-11-24,306.000000,308.000000,302.000000,302.000000,302.000000,124230300
2022-11-25,298.000000,304.000000,296.000000,300.000000,300.000000,205392600
2022-11-28,298.000000,300.000000,280.000000,280.000000,280.000000,425542800
2022-11-29,284.000000,284.000000,270.000000,276.000000,276.000000,287191900
2022-11-30,278.000000,286.000000,274.000000,286.000000,286.000000,2889250900
2022-12-01,290.000000,292.000000,278.000000,280.000000,280.000000,302135700
2022-12-02,280.000000,282.000000,274.000000,274.000000,274.000000,170424800
2022-12-05,274.000000,274.000000,256.000000,258.000000,258.000000,541938100
2022-12-06,256.000000,272.000000,252.000000,268.000000,268.000000,165769000
2022-12-07,268.000000,270.000000,258.000000,262.000000,262.000000,68604300
2022-12-08,262.000000,268.000000,258.000000,262.000000,262.000000,71909500
2022-12-09,266.000000,266.000000,260.000000,266.000000,266.000000,84022100
2022-12-12,264.000000,266.000000,254.000000,262.000000,262.000000,106445600
2022-12-13,264.000000,284.000000,262.000000,280.000000,280.000000,258561100
2022-12-14,284.000000,286.000000,276.000000,284.000000,284.000000,125453500
2022-12-15,284.000000,284.000000,274.000000,280.000000,280.000000,96605800
2022-12-16,276.000000,278.000000,268.000000,268.000000,268.000000,196169900
2022-12-19,268.000000,272.000000,262.000000,264.000000,264.000000,51975600
2022-12-20,262.000000,264.000000,252.000000,254.000000,254.000000,177101800
2022-12-21,254.000000,264.000000,254.000000,258.000000,258.000000,56617400
2022-12-22,262.000000,268.000000,258.000000,264.000000,264.000000,59317000
2022-12-23,262.000000,272.000000,260.000000,270.000000,270.000000,57410800
2022-12-26,270.000000,270.000000,260.000000,264.000000,264.000000,23712300
2022-12-27,264.000000,270.000000,264.000000,270.000000,270.000000,74348500
2022-12-28,268.000000,272.000000,266.000000,268.000000,268.000000,41156500
2022-12-29,268.000000,276.000000,268.000000,270.000000,270.000000,76642100
2022-12-30,274.000000,274.000000,262.000000,262.000000,262.000000,106566500
2023-01-02,262.000000,266.000000,260.000000,264.000000,264.000000,19827800
2023-01-03,264.000000,270.000000,264.000000,268.000000,268.000000,33591700
2023-01-04,268.000000,272.000000,264.000000,264.000000,264.000000,44551100
